,title,link
30,Two Minerals Never Seen Before in Nature Discovered In an ...,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vdHdvLW1pbmVyYWxzLW5ldmVyLXNlZW4tYmVmb3JlLWluLW5hdHVyZS1kaXNjb3ZlcmVkLWluLWFuLWFzdGVyb2lkLXRoYXQtZmVsbC10by1lYXJ0aNIBdmh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vdHdvLW1pbmVyYWxzLW5ldmVyLXNlZW4tYmVmb3JlLWluLW5hdHVyZS1kaXNjb3ZlcmVkLWluLWFuLWFzdGVyb2lkLXRoYXQtZmVsbC10by1lYXJ0aC9hbXA?hl=en-US&gl=US&ceid=US%3Aen
31,A 'potentially hazardous' blue-whale-size asteroid will zip through ...,https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9ibHVlLXdoYWxlLWFzdGVyb2lkLXppcC1wYXN0LWVhcnRo0gEA?hl=en-US&gl=US&ceid=US%3Aen
32,NASA's DART mission prepares for an asteroid collision,https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOS8xNi93b3JsZC9uYXNhLWRhcnQtbWlzc2lvbi1wcmV2aWV3LXNjbi9pbmRleC5odG1s0gFRaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMi8wOS8xNi93b3JsZC9uYXNhLWRhcnQtbWlzc2lvbi1wcmV2aWV3LXNjbi9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
33,Asteroid alert! Gigantic 230-foot asteroid advancing towards Earth at ferocious speed,https://news.google.com/articles/CBMikgFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9hc3Rlcm9pZC1hbGVydC1naWdhbnRpYy0yMzAtZm9vdC1hc3Rlcm9pZC1hZHZhbmNpbmctdG93YXJkcy1lYXJ0aC1hdC1mZXJvY2lvdXMtc3BlZWQtNzE2NzMyMjgwOTc5NjYuaHRtbNIBlgFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL2FtcC90ZWNoL25ld3MvYXN0ZXJvaWQtYWxlcnQtZ2lnYW50aWMtMjMwLWZvb3QtYXN0ZXJvaWQtYWR2YW5jaW5nLXRvd2FyZHMtZWFydGgtYXQtZmVyb2Npb3VzLXNwZWVkLTcxNjczMjI4MDk3OTY2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
34,NASA intentionally crashed a spacecraft into an asteroid. This ...,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmNvbG9yYWRvLmVkdS90b2RheS8yMDIyLzA5LzIyL25hc2EtaW50ZW50aW9uYWxseS1jcmFzaGVkLXNwYWNlY3JhZnQtYXN0ZXJvaWQtZW5naW5lZXItd2F0Y2hlZC1pdC1oYXBwZW7SAQA?hl=en-US&gl=US&ceid=US%3Aen
35,A comet not seen in 50000 years is coming. Here's what you need to ...,https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LnNwYWNlLmNvbS9jb21ldC1jMjAyMi1lMy16dGYtdmlzaWJsZS1uYWtlZC1leWUtamFudWFyeS0yMDIz0gEA?hl=en-US&gl=US&ceid=US%3Aen
36,Another scary Asteroid heading for Earth today! NASA issues warning,https://news.google.com/articles/CBMigAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9hbm90aGVyLXNjYXJ5LWFzdGVyb2lkLWhlYWRpbmctZm9yLWVhcnRoLXRvZGF5LW5hc2EtaXNzdWVzLXdhcm5pbmctNzE2NjIwOTc4ODkwNTAuaHRtbNIBhAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL2FtcC90ZWNoL25ld3MvYW5vdGhlci1zY2FyeS1hc3Rlcm9pZC1oZWFkaW5nLWZvci1lYXJ0aC10b2RheS1uYXNhLWlzc3Vlcy13YXJuaW5nLTcxNjYyMDk3ODg5MDUwLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
37,NASA issues asteroid warning as 160-foot rock set to approach Earth on Feb 11,https://news.google.com/articles/CBMiiwFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9uYXNhLWlzc3Vlcy1hc3Rlcm9pZC13YXJuaW5nLWFzLTE2MC1mb290LXJvY2stc2V0LXRvLWFwcHJvYWNoLWVhcnRoLW9uLWZlYi0xMS03MTY3NjAwODEzOTAwNS5odG1s0gGPAWh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vYW1wL3RlY2gvbmV3cy9uYXNhLWlzc3Vlcy1hc3Rlcm9pZC13YXJuaW5nLWFzLTE2MC1mb290LXJvY2stc2V0LXRvLWFwcHJvYWNoLWVhcnRoLW9uLWZlYi0xMS03MTY3NjAwODEzOTAwNS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
38,NASA asteroid warning! This asteroid coming for Earth at amazing 31140 kmph,https://news.google.com/articles/CBMiiAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9uYXNhLWFzdGVyb2lkLXdhcm5pbmctdGhpcy1hc3Rlcm9pZC1jb21pbmctZm9yLWVhcnRoLWF0LWFtYXppbmctMzExNDAta21waC03MTY2NjM0MTY0MzgyOS5odG1s0gGMAWh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vYW1wL3RlY2gvbmV3cy9uYXNhLWFzdGVyb2lkLXdhcm5pbmctdGhpcy1hc3Rlcm9pZC1jb21pbmctZm9yLWVhcnRoLWF0LWFtYXppbmctMzExNDAta21waC03MTY2NjM0MTY0MzgyOS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
39,Astronomers spot largest potentially hazardous asteroid detected in last eight years,https://news.google.com/articles/CBMiVWh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIyLTEwLWFzdHJvbm9tZXJzLWxhcmdlc3QtcG90ZW50aWFsbHktaGF6YXJkb3VzLWFzdGVyb2lkLmh0bWzSAVRodHRwczovL3BoeXMub3JnL25ld3MvMjAyMi0xMC1hc3Ryb25vbWVycy1sYXJnZXN0LXBvdGVudGlhbGx5LWhhemFyZG91cy1hc3Rlcm9pZC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
